person,job,position
"Jacob Safra","Co-Chairman, Banco Safra Brasil, Brazil","Level 1Top Executive"
"Sami Sagol","Chairman, Keter Group, Israel","Level 1Top Executive"
"Hussain Sajwani","Chairman, Damac Properties, United Arab Emirates","Level 1Top Executive"
"Tatsufumi Sakai","President and Group Chief Executive Officer, Mizuho Financial Group, Japan","Level 1Top Executive"
"Kengo Sakurada","Chairman, Keizai Doyukai, Japan","Level 1Top Executive"
"Michael Salvino","President and Chief Executive Officer, DXC Technology, USA","Level 1Top Executive"
"Kim Samuel","Chair and President, Samuel Family Foundation",""
"Valter Sanches","General Secretary, IndustriAll Global Union, Switzerland","Level 1Top Executive"
"Sheryl Sandberg","Chief Operating Officer and Member of the Board, Facebook, USA","Level 1Top Executive"
"Dilhan Pillay Sandrasegara","Chief Executive Officer, Temasek, Singapore","Level 1Top Executive"
"Peter Sands","Executive Director, Global Fund to Fight AIDS, Tuberculosis and Malaria (GF), Geneva","Level 1Top Executive"
"M. Sanjayan","Chief Executive Officer, Conservation International, USA","Level 1Top Executive"
"Flavia Santoro Trujillo","President, ProColombia, Colombia","Level 1Top Executive"
"Nobuhiko Sasaki","Chairman, Japan External Trade Organization (JETRO), Japan","Level 1Top Executive"
"Taisuke Sasanuma","Representative Partner, Advantage Partners, Japan","Level 1Top Executive"
"Dhruv Manmohan Sawhney","Chairman and Managing Director, Triveni Turbine, India","Level 1Top Executive"
"Anthony Scaramucci","Founder, SkyBridge Capital, USA","Level 1Top Executive"
"Urs Schaeppi","Chief Executive Officer, Swisscom, Switzerland","Level 1Top Executive"
"Stefan Schaible","Managing Director, Roland Berger, Germany","Level 1Top Executive"
"Wolf-Henning Scheider","Chief Executive Officer and Chairman of the Board of Management, ZF Friedrichshafen, Germany","Level 1Top Executive"
"Herbert J. Scheidt","Chairman of the Board, Vontobel, Switzerland","Level 1Top Executive"
"Jennifer Schenker","Founder and Editor-in-Chief, The Innovator, France","Level 1Top Executive"
"Mark Schneider","Chief Executive Officer, Nestlé, Switzerland","Level 1Top Executive"
"Abraham Schot","Chief Executive Officer, Audi, Germany","Level 1Top Executive"
"Dan Schulman","President and Chief Executive Officer, PayPal, USA","Level 1Top Executive"
"Melanie Henriette Schultz van Haegen-Maas Geesteranus","Chief Executive Officer, Porticus, Netherlands","Level 1Top Executive"
"Hilde Schwab","Chairperson and Co-Founder, Schwab Foundation for Social Entrepreneurship","Level 1Top Executive"
"Klaus Schwab","Founder and Executive Chairman, World Economic Forum","Level 1Top Executive"
"Stephen A. Schwarzman","Chairman, Chief Executive Officer and Co-Founder, Blackstone, USA","Level 1Top Executive"
"Rob Scott","Chief Executive Officer, Wesfarmers, Australia","Level 1Top Executive"
"James Scriven","Chief Executive Officer, IDB Invest, Washington DC","Level 1Top Executive"
"Simon Segars","Chief Executive Officer, ARM, United Kingdom","Level 1Top Executive"
"Sergio Segovia","President, Apex-Brasil (Brazilian Trade and Investment Promotion Agency), Brazil","Level 1Top Executive"
"Zarrar Sehgal","Deputy Chairman, Pathfinder Group, Pakistan","Level 1Top Executive"
"Dov Seidman","Founder and Chairman, LRN, USA","Level 1Top Executive"
"Nils Selte","Chief Executive Officer, Canica, Norway","Level 1Top Executive"
"Stefan Seltz-Axmacher","Founder and Chief Executive Officer, Starsky Robotics, USA","Level 1Top Executive"
"Jaan Ivar Semlitsch","Chief Executive Officer, Orkla, Norway","Level 1Top Executive"
"Jean-Dominique Senard","Chairman of the Board of Directors, Groupe Renault, France","Level 1Top Executive"
"Davide Serra","Founder and Chief Executive Officer, Algebris Investments, United Kingdom","Level 1Top Executive"
"Christian Sewing","Chief Executive Officer, Deutsche Bank, Germany","Level 1Top Executive"
"Brent Shafer","Chairman and Chief Executive Officer, Cerner, USA","Level 1Top Executive"
"Rajiv Shah","President, Rockefeller Foundation, USA","Level 1Top Executive"
"Marwan Shakarchi","Chairman and Chief Executive Officer, MKS (Switzerland), Switzerland","Level 1Top Executive"
"Shashi Shanker","Chairman and Managing Director, Oil and Natural Gas Corporation (ONGC), India","Level 1Top Executive"
"Alexander Sharabaika","Chief Financial Officer, PhosAgro, Russian Federation","Level 1Top Executive"
"Vikram Sharma","Founder and Chief Executive Officer, QuintessenceLabs, Australia","Level 1Top Executive"
"Hashim Shawa","Chairman, Bank of Palestine, Palestinian Territories","Level 1Top Executive"
"Chris Sheldrick","Chief Executive Officer, what3words, United Kingdom","Level 1Top Executive"
"Jai Shroff","Global Chief Executive Officer, UPL, India","Level 1Top Executive"
"Rob Shuter","Group President and Chief Executive Officer, MTN Group, South Africa","Level 1Top Executive"
"Jose Silva","Chief Executive Officer, Jumeirah Group, United Arab Emirates","Level 1Top Executive"
"David Sin","Co-Founder, Group President and Deputy Chairman, Fullerton Health, Singapore","Level 1Top Executive"
"Sanjiv Singh","Chairman, Indian Oil, India","Level 1Top Executive"
"Gurdeep Singh","Chairman and Managing Director, NTPC, India","Level 1Top Executive"
"Ajay Singh","Chairman and Managing Director, SpiceJet, India","Level 1Top Executive"
"Shailendra Singh","Managing Director, Sequoia Capital India, Singapore","Level 1Top Executive"
"Mohinder Singh Ahluwalia","Chairman, Nishkam Centre, United Kingdom","Level 1Top Executive"
"Sumant Sinha","Chairman and Managing Director, ReNew Power, India","Level 1Top Executive"
"Regine Sixt","President, International, Sixt, Germany","Level 1Top Executive"
"Keith Skeoch","Chief Executive, Standard Life Aberdeen, United Kingdom","Level 1Top Executive"
"Soren Skou","Chief Executive Officer, A.P. Møller-Maersk, Denmark","Level 1Top Executive"
"Jared Smith","Chief Executive Officer, Ticketmaster, USA","Level 1Top Executive"
"Robert F. Smith","Chairman and Chief Executive Officer, Vista Equity Partners, USA","Level 1Top Executive"
"Kevin Sneader","Global Managing Partner, McKinsey & Company, Hong Kong SAR, China","Level 1Top Executive"
"Jack So Chak-kwong","Chairman, Airport Authority Hong Kong, Hong Kong SAR, China","Level 1Top Executive"
"Frank Sobey","Chairman, Crombie REIT, Canada","Level 1Top Executive"
"Benedikt Sobotka","Chief Executive Officer, Eurasian Resources Group (ERG), Luxembourg","Level 1Top Executive"
"David Solomon","Chairman and Chief Executive Officer, Goldman Sachs, USA","Level 1Top Executive"
"Brett Solomon","Co-Founder and Executive Director, Access Now, USA","Level 1Top Executive"
"Masayoshi Son","Chairman and Chief Executive Officer, Softbank Group, Japan","Level 1Top Executive"
"Soopakij Chearavanont","Chairman, CP Group, Thailand","Level 1Top Executive"
"Arne Sorenson","President and Chief Executive Officer, Marriott International, USA","Level 1Top Executive"
"Pascal Soriot","Chief Executive Officer, AstraZeneca, United Kingdom","Level 1Top Executive"
"George Soros","Chairman and Founder, Soros Fund Management, USA","Level 1Top Executive"
"Alexander Soros","Deputy Chair",""
"Sir Martin Sorrell","Executive Chairman, S4Capital, United Kingdom","Level 1Top Executive"
"Chicko Sousa","Founder and Chief Executive Officer, Plataforma Verde, Brazil","Level 1Top Executive"
"Sandy Speicher","Chief Executive Officer, IDEO, USA","Level 1Top Executive"
"Jes Staley","Group Chief Executive Officer, Barclays, United Kingdom","Level 1Top Executive"
"Francesco Starace","Chief Executive Officer and General Manager, Enel, Italy","Level 1Top Executive"
"Adrian Steckel","Chief Executive Officer, OneWeb, United Kingdom","Level 1Top Executive"
"Andrew Steer","President and Chief Executive Officer, World Resources Institute, USA","Level 1Top Executive"
"Markus Steilemann","Chief Executive Officer, Covestro, Germany","Level 1Top Executive"
"Eytan Stibbe","Founding Partner, Vital Capital Fund, Switzerland","Level 1Top Executive"
"Wilfried Stoll","Managing Partner, Festo, Germany","Level 1Top Executive"
"Gunhild Anker Stordalen","Founder and Executive Chair, EAT, Norway","Level 1Top Executive"
"Jörg Stratmann","Chairman of the Management Board and Chief Executive Officer, MAHLE Group, Germany","Level 1Top Executive"
"Dan Streetman","Chief Executive Officer, TIBCO Software, USA","Level 1Top Executive"
"Prijono Sugiarto","President and Chief Executive Officer, Astra International, Indonesia","Level 1Top Executive"
"Malek Sukkar","Chief Executive Officer, averda, United Kingdom","Level 1Top Executive"
"Tarek Sultan Al Essa","Chief Executive Officer and Vice-Chairman of the Board, Agility, Kuwait","Level 1Top Executive"
"Jane Sun Jie","Chief Executive Officer, Trip.com Group, People's Republic of China","Level 1Top Executive"
"Suphachai Chearavanont","Chief Executive Officer, CP Group, Thailand","Level 1Top Executive"
"Mukesh Kumar Surana","Chairman and Managing Director, Hindustan Petroleum, India","Level 1Top Executive"
"Rajeev Suri","President and Chief Executive Officer, Nokia, Finland","Level 1Top Executive"
"Iqbal Survé","Executive Chairman, Sekunjalo Group, South Africa","Level 1Top Executive"
"Paweł Surówka","Chief Executive Officer, PZU, Poland","Level 1Top Executive"
"Jan Suykens","Chairman of the Executive Committee, Ackermans & van Haaren, Belgium","Level 1Top Executive"
"Jun Suzuki","President and Chief Executive Officer",""
"Nadja Swarovski","Chairperson, Swarovski Foundation"," Head, Corporate Branding and Communication, Swarovski, Austria"
"Julie Sweet","Chief Executive Officer, Accenture, USA","Level 1Top Executive"
"Merlin Bingham Swire","Chairman, Swire Pacific, Hong Kong SAR, China","Level 1Top Executive"
"Sam Swire","Director, John Swire & Sons, United Kingdom","Level 1Top Executive"
"Feike Sybesma","Chief Executive Officer and Chairman of the Managing Board, Royal DSM, Netherlands","Level 1Top Executive"
"Jacek Szwajcowski","Chief Executive Officer, Pelion, Poland","Level 1Top Executive"
"Ignacio Sánchez Galán","Chairman and Chief Executive Officer, Iberdrola, Spain","Level 1Top Executive"
"Michael Süss","Chairman, Oerlikon, Switzerland","Level 1Top Executive"
"Kudakwashe Regimond Tagwirei","Chief Executive Officer and Founder, Sakunda Holdings, Zimbabwe","Level 1Top Executive"
"Jim Taiclet Jr","Chairman, President and Chief Executive Officer, American Tower, USA","Level 1Top Executive"
"Makoto Takashima","President and Chief Executive Officer, Sumitomo Mitsui Banking, Japan","Level 1Top Executive"
"Sadanobu Takemasu","President and Chief Executive Officer, Representative Director and Chairman of the Board, Lawson, Japan","Level 1Top Executive"
"Ayman Tamer","Chairman and Partner, Tamer Group, Saudi Arabia","Level 1Top Executive"
"Anthony Tan","Group Chief Executive Officer and Co-Founder, Grab, Singapore","Level 1Top Executive"
"Frank Tang Kui","Chairman and Chief Executive Officer, FountainVest Partners (Asia), Hong Kong SAR, China","Level 1Top Executive"
"Gillian Tans","Chairwoman, Booking.com, Netherlands","Level 1Top Executive"
"William Tanuwijaya","Founder and Chief Executive Officer, Tokopedia, Indonesia","Level 1Top Executive"
"Jo Taylor","President and Chief Executive Officer, Ontario Teachers' Pension Plan, Canada","Level 1Top Executive"
"Teh Hua Fung","Group President, ONE Championship, Singapore","Level 1Top Executive"
"Thapana Sirivadhanabhakdi","President and Chief Executive Officer, Thai Beverage, Thailand","Level 1Top Executive"
"Tidjane Thiam","Chief Executive Officer, Credit Suisse, Switzerland","Level 1Top Executive"
"Bill Thomas","Global Chairman and CEO, KPMG International","Level 1Top Executive"
"Mark Thompson","President and Chief Executive, New York Times, USA","Level 1Top Executive"
"Joseph Thompson","Chief Executive Officer, AID:Tech, Ireland","Level 1Top Executive"
"Karl-Petter Thorwaldsson","President, Swedish Trade Union Confederation, Sweden","Level 1Top Executive"
"Loukina Tille","Climate and Environmental Activist, Climate Strike, Switzerland","Level 1Top Executive"
"Maxim Timchenko","Chief Executive Officer, DTEK, Ukraine","Level 1Top Executive"
"Wale Tinubu","Group Chief Executive, Oando, Nigeria","Level 1Top Executive"
"Fani Titi","Joint Chief Executive Officer, Investec, South Africa","Level 1Top Executive"
"Jean Todt","President, Fédération Internationale de l'Automobile (FIA), France","Level 1Top Executive"
"Takahito Tokita","President and Representative Director, Fujitsu, Japan","Level 1Top Executive"
"Johan Torgeby","President and Chief Executive Officer, Skandinaviska Enskilda Banken (SEB), Sweden","Level 1Top Executive"
"Carlos Torres Vila","Chairman, BBVA, Spain","Level 1Top Executive"
"Mamadou Toure","Founder, Africa 2.0 Foundation, South Africa","Level 1Top Executive"
"Ned Tozun","Chief Executive Officer, d.light, USA","Level 1Top Executive"
"Eric Trappier","Chief Executive Officer, Dassault Aviation, France","Level 1Top Executive"
"Alan Trefler","Founder and Chief Executive Officer, Pegasystems, USA","Level 1Top Executive"
"Jean-Pascal Tricoire","Chairman and Chief Executive Officer, Schneider Electric, France","Level 1Top Executive"
"Ponsi Trivisvavet","Chief Executive Officer and Director, Inari Agriculture, USA","Level 1Top Executive"
"Richard L. Trumka","President, American Federation of Labor and Congress of Industrial Organizations (AFL-CIO), USA","Level 1Top Executive"
"Karen I. Tse","Chief Executive Officer, International Bridges to Justice, Switzerland","Level 1Top Executive"
"Simpiwe K. Tshabalala","Chief Executive Officer, Standard Bank Group, South Africa","Level 1Top Executive"
"Royke Tumilaar","Chief Executive Officer, Bank Mandiri (Persero), Indonesia","Level 1Top Executive"
"Tiger Tyagarajan","President and Chief Executive Officer, Genpact International, USA","Level 1Top Executive"
"Torbjörn Törnqvist","Chief Executive Officer, Gunvor, Switzerland","Level 1Top Executive"
"Lance Uggla","Chairman and Chief Executive Officer, IHS Markit, United Kingdom","Level 1Top Executive"
"Christian Ulbrich","Global Chief Executive Officer",""
"Kevin Ulrich","Chief Executive Officer, Anchorage Capital Group, USA","Level 1Top Executive"
"Alisher B. Usmanov","Founder, USM Holdings, Russian Federation","Level 1Top Executive"
"Hans Van Bylen","President, Verband der Chemischen Industrie (VCI), Germany","Level 1Top Executive"
"Rolly Van Rappard","Managing Partner, CVC Capital Partners, Luxembourg","Level 1Top Executive"
"Jacques Vandermeiren","Chief Executive Officer, Antwerp Port Authority, Belgium","Level 1Top Executive"
"Yossi Vardi","Chairman, International Technologies, Israel","Level 1Top Executive"
"Mariana Vasconcelos","Chief Executive Officer, Agrosmart, Brazil","Level 1Top Executive"
"Carl Vause","Chief Executive Officer, Soft Robotics, USA","Level 1Top Executive"
"Shamsheer Vayalil","Chairman and Managing Director, VPS Healthcare, United Arab Emirates","Level 1Top Executive"
"Victor F. Vekselberg","Chairman of the Board of Directors, Skolkovo Foundation, Russian Federation","Level 1Top Executive"
"Hans Vestberg","Chairman and Chief Executive Officer, Verizon Communications, USA","Level 1Top Executive"
"C. Vijayakumar","President and Chief Executive Officer, HCL Technologies, India","Level 1Top Executive"
"Luca Visentini","General Secretary, European Trade Union Confederation (ETUC), Belgium","Level 1Top Executive"
"Arkady Volozh","Chief Executive Officer, Yandex, Russian Federation","Level 1Top Executive"
"Peter Voser","Chairman of the Board and Chief Executive Officer, ABB, Switzerland","Level 1Top Executive"
"Michel Vounatsos","Chief Executive Officer, Biogen, USA","Level 1Top Executive"
"Marc Walder","Chief Executive Officer, Ringier, Switzerland","Level 1Top Executive"
"Jacob Wallenberg","Chairman, Investor, Sweden","Level 1Top Executive"
"Wan Zulkiflee Wan Ariffin","President and Group Chief Executive Officer, PETRONAS (Petroliam Nasional), Malaysia","Level 1Top Executive"
"Cher Wang","Founder and Chairman, HTC, Taiwan, China","Level 1Top Executive"
"Kevin Washington","President and Chief Executive Officer, YMCA of the US, USA","Level 1Top Executive"
"Jean-Baptiste Wautier","Partner and Member of the Executive Committee, BC Partners, United Kingdom","Level 1Top Executive"
"Christophe Weber","President and Chief Executive Officer, Takeda Pharmaceutical, Japan","Level 1Top Executive"
"Andrew S. Weinberg","Founder, Managing Partner and Chief Executive Officer, Brightstar Capital Partners, USA","Level 1Top Executive"
"Jeremy Weir","Chairman and Chief Executive Officer, Trafigura Group, Switzerland","Level 1Top Executive"
"Joachim Wenning","Chief Executive Officer, Munich Re, Germany","Level 1Top Executive"
"Noel White","President and Chief Executive Officer, Tyson Foods, USA","Level 1Top Executive"
"Darryl White","Chief Executive Officer, BMO Financial Group, Canada","Level 1Top Executive"
"Theresa Whitmarsh","Executive Director, Washington State Investment Board, USA","Level 1Top Executive"
"Clay C. Williams","President, Chairman and Chief Executive Officer, National Oilwell Varco (NOV), USA","Level 1Top Executive"
"Sarah Williamson","Chief Executive Officer, FCLT Global, USA","Level 1Top Executive"
"Bill Winters","Group Chief Executive Officer, Standard Chartered Bank, United Kingdom","Level 1Top Executive"
"Michael K. Wirth","Chairman of the Board and Chief Executive Officer, Chevron, USA","Level 1Top Executive"
"Lisa Witter","Co-Founder and Executive Chairperson, Apolitical, Germany","Level 1Top Executive"
"Lauren Woodman","Chief Executive Officer, NetHope, USA","Level 1Top Executive"
"John Wren","Chairman and Chief Executive Officer, Omnicom Group, USA","Level 1Top Executive"
"Alexander R. Wynaendts","Chief Executive Officer and Chairman of the Executive Board, Aegon, Netherlands","Level 1Top Executive"
"Ken Xie","Founder, Chairman of the Board and Chief Executive Officer, Fortinet, USA","Level 1Top Executive"
"Xu Niansha","Chairman, Poly Group, People's Republic of China","Level 1Top Executive"
"Linda Yaccarino","Chairman, Advertising and Partnerships, NBCUniversal, USA","Level 1Top Executive"
"Ion Yadigaroglu","Managing Partner, Capricorn Investment Group, USA","Level 1Top Executive"
"Arzuhan Dogan Yalçindag","Member of the Board, Dogan Group of Companies, Turkey","Level 1Top Executive"
"Tatsuo Yasunaga","President and Chief Executive Officer, Mitsui & Co., Japan","Level 1Top Executive"
"Kenichiro Yoshida","President and Chief Executive Officer, Sony, Japan","Level 1Top Executive"
"Glenn Youngkin","Co-Chief Executive Officer, Carlyle Group, USA","Level 1Top Executive"
"Albert 'Ambet' Emilio Yuson","General Secretary, Building and Wood Workers' International (BWI), Switzerland","Level 1Top Executive"
"Matthias Zachert","Chief Executive Officer and Chairman of the Board of Management, LANXESS, Germany","Level 1Top Executive"
"Nadav Zafrir","Chief Executive Officer and Co-Founder, Team8, USA","Level 1Top Executive"
"Saul Zang","Co-Chairman, Banco Hipotecario, Argentina","Level 1Top Executive"
"Antonio Zappulla","Chief Executive Officer, Thomson Reuters Foundation, Thomson Reuters, United Kingdom","Level 1Top Executive"
"H. Cuneyd Zapsu","Founder and Chairman, Cuneyd Zapsu Danismanlik, Turkey","Level 1Top Executive"
"Aziz G. Zapsu","Chairman, Azizler Holding, Turkey","Level 1Top Executive"
"Fernando Zavala","Chief Executive Officer, Intercorp, Peru","Level 1Top Executive"
"Zeng Qinghong","Chairman, Guangzhou Auto Industry Group, People's Republic of China","Level 1Top Executive"
"Daniel Zhang","Executive Chairman and Chief Executive Officer, Alibaba Group, People's Republic of China","Level 1Top Executive"
"Zhang Jiachen","Founder and Chief Executive Officer, Guangzhishu Technology, People's Republic of China","Level 1Top Executive"
"Zhang Jin","Chairman of the Board, Cedar Holdings Group, People's Republic of China","Level 1Top Executive"
"Zhang Lei","Chief Executive Officer, Envision Group, People's Republic of China","Level 1Top Executive"
"Zhang Yi-Chen","Chairman and Chief Executive Officer, CITIC Capital, Hong Kong SAR, China","Level 1Top Executive"
"Zhang Yiming","Founder and Chief Executive Officer, ByteDance, Cayman Islands","Level 1Top Executive"
"Zhang Zhaoxing","Chairman, Guangzhou Yuexiu Holding, People's Republic of China","Level 1Top Executive"
"Zhang Zongyan","Chairman, China Railway Group (CREC), People's Republic of China","Level 1Top Executive"
"Martin Zielke","Chairman and Chief Executive Officer, Commerzbank, Germany","Level 1Top Executive"
"Sultan Ahmed bin Sulayem","Group Chairman and Chief Executive Officer, DP World, United Arab Emirates","Level 1Top Executive"
"Veronique de Bruijn","Chief Executive Officer, Photanol, Netherlands","Level 1Top Executive"
"Theo de Jager","President, World Farmers' Organisation, Italy","Level 1Top Executive"
"Octavio de Lazari Junior Jr","Chief Executive Officer, Banco Bradesco, Brazil","Level 1Top Executive"
"Arnaud de Puyfontaine","Chief Executive Officer, Vivendi, France","Level 1Top Executive"
"Alexandre de Rothschild","Executive Chairman, Rothschild & Co, France","Level 1Top Executive"
"Ben van Beurden","Chief Executive Officer, Royal Dutch Shell, Netherlands","Level 1Top Executive"
"Jean-François van Boxmeer","Chairman of the Executive Board and Chief Executive Officer, HEINEKEN, Netherlands","Level 1Top Executive"
"Bob van Dijk","Chief Executive Officer, Naspers, South Africa","Level 1Top Executive"
"Kees van Dijkhuizen","Chief Executive Officer, ABN AMRO, Netherlands","Level 1Top Executive"
"Frans van Houten","Chief Executive Officer, Royal Philips, Netherlands","Level 1Top Executive"
"Coen van Oostrom","Founder and Chief Executive Officer, EDGE Technologies, OVG Real Estate, Netherlands","Level 1Top Executive"
"Cornelis van Zadelhoff","Founder, Zadelhoff Beheer, Netherlands","Level 1Top Executive"
"Stefan von Holtzbrinck","Chief Executive Officer, Holtzbrinck Publishing Group, Germany","Level 1Top Executive"
"H.S.H. Prince Maximilian von und zu Liechtenstein","Chief Executive Officer, LGT, Liechtenstein","Level 1Top Executive"
"Ebru Özdemir","Chairperson of the Board, Limak Holding, Turkey","Level 1Top Executive"
"Kristalina Georgieva","Managing Director, International Monetary Fund (IMF), Washington DC","Level 1Head of Top International Org."
"Antonio Guterres","Secretary-General, United Nations, New York","Level 1Head of Top International Org."
"Nana Addo Dankwa Akufo-Addo","President of the Republic of Ghana","Level 1Head of State"
"H.S.H. Prince Albert II of Monaco","Prince of Monaco","Level 1Head of State"
"Ilham Aliyev","President of the Republic of Azerbaijan","Level 1Head of State"
"H.S.H. Hereditary Prince Alois of Liechtenstein","Hereditary Prince of Liechtenstein","Level 1Head of State"
"Nechirvan Barzani","President of the Kurdistan Regional Government","Level 1Head of State"
"Khaltmaagiin Battulga","President of Mongolia","Level 1Head of State"
"Andrzej Duda","President of Poland","Level 1Head of State"
"Ivan Duque","President of Colombia","Level 1Head of State"
"Mohammad Ashraf Ghani","President of the Islamic Republic of Afghanistan","Level 1Head of State"
"Egils Levits","President of Latvia","Level 1Head of State"
"Mokgweetsi Eric Keabetswe Masisi","President of Botswana","Level 1Head of State"
"H.M. Mathilde, Queen of Belgium","Queen of Belgium","Level 1Head of State"
"Lenin Moreno Garcés","President of Ecuador","Level 1Head of State"
"H.M. Queen Máxima of the Netherlands","Queen of the Netherlands",""
"Gitanas Nausėda","President of Lithuania","Level 1Head of State"
"Filipe Jacinto Nyusi","President of Mozambique","Level 1Head of State"
"H.M. King Philippe of Belgium","King of Belgium","Level 1Head of State"
"Kais Saied","President of Tunisia","Level 1Head of State"
"Barham Salih","President of Iraq","Level 1Head of State"
"Macky Sall","President of Senegal","Level 1Head of State"
"Armen Sarkissian","President of Armenia","Level 1Head of State"
"Simonetta Sommaruga","President of the Swiss Confederation and Federal Councillor for the Environment, Transport, Energy and Communications","Level 1Head of State"
"Hashim Thaci","President of Kosovo (This designation is without prejudice to positions on status, and is in line with United Nations Security Council resolution 1244 (1999) and the International Court of Justice Opinion on the Kosovo declaration of independence)","Level 1Head of State"
"President Donald J. Trump","President of the United States of America","Level 1Head of State"
"Felix Tshisekedi","President of the Democratic Republic of the Congo","Level 1Head of State"
"Aleksandar Vučić","President of Serbia","Level 1Head of State"
"Volodymyr Zelenskyy","President of Ukraine","Level 1Head of State"
"Omar Al Razzaz","Prime Minister of Jordan and Minister of Defence","Level 1Head of Government"
"Xavier Bettel","Prime Minister and Minister for Communications, Media and Digitization of Luxembourg","Level 1Head of Government"
"Boyko Borissov","Prime Minister of Bulgaria","Level 1Head of Government"
"Ana Brnabić","Prime Minister of Serbia","Level 1Head of Government"
"Giuseppe Conte","Prime Minister of Italy","Level 1Head of Government"
"Laurentino Cortizo Cohen","President of Panama","Level 1Head of Government"
"Giorgi Gakharia","Prime Minister of Georgia","Level 1Head of Government"
"Adrian Hasler","Prime Minister of Liechtenstein","Level 1Head of Government"
"Imran Khan","Prime Minister of Pakistan","Level 1Head of Government"
"Sebastian Kurz","Federal Chancellor of Austria","Level 1Head of Government"
"Lee Hsien Loong","Prime Minister of Singapore","Level 1Head of Government"
"Sanna Marin","Prime Minister of Finland","Level 1Head of Government"
"Angela Merkel","Federal Chancellor of Germany","Level 1Head of Government"
"Charles Michel","President of the European Council","Level 1Head of Government"
"Kyriakos Mitsotakis","Prime Minister of Greece","Level 1Head of Government"
"Mateusz Morawiecki","Prime Minister of Poland","Level 1Head of Government"
"Andrej Plenković","Prime Minister of Croatia","Level 1Head of Government"
"Jüri Ratas","Prime Minister of Estonia","Level 1Head of Government"
"Mark Rutte","Prime Minister of the Netherlands","Level 1Head of Government"
"David Maria Sassoli","President of the European Parliament","Level 1Head of Government"
"Mohammad Ibrahim Shtayyeh","Prime Minister of the Palestinian National Authority","Level 1Head of Government"
"Erna Solberg","Prime Minister of Norway","Level 1Head of Government"
"Pedro Sánchez","Prime Minister of Spain","Level 1Head of Government"
"Sophie Wilmès","Prime Minister of Belgium","Level 1Head of Government"
"Ursula von der Leyen","President of the European Commission","Level 1Head of Government"
"Marjan Šarec","Prime Minister of Slovenia","Level 1Head of Government"
"Faisal Abbas","Editor-in-Chief, Arab News, Saudi Arabia","Level 1Editor-in-Chief"
"Stephen J. Adler","Editor-in-Chief, Reuters, Canada","Level 1Editor-in-Chief"
"Sven Afhüppe","Editor-in-Chief, Handelsblatt, Germany","Level 1Editor-in-Chief"
"Frank Aigbogun","Editor-in-Chief, Business Day, Nigeria","Level 1Editor-in-Chief"
"Mina Al-Oraibi","Editor-in-Chief, The National, United Arab Emirates","Level 1Editor-in-Chief"
"Ricardo Avila","Editor-in-Chief, Portafolio, Colombia","Level 1Editor-in-Chief"
"Stefan Barmettler","Editor-in-Chief, HandelsZeitung, Switzerland","Level 1Editor-in-Chief"
"Martin Baron","Executive Editor, Washington Post, USA","Level 1Editor-in-Chief"
"Nicolas Barré","Editor-in-Chief, Les Echos, France","Level 1Editor-in-Chief"
"Stéphane Benoit-Godet","Editor-in-Chief, Le Temps, Switzerland","Level 1Editor-in-Chief"
"Luzi Bernet","Editor-in-Chief, NZZ am Sonntag, Switzerland","Level 1Editor-in-Chief"
"Amy Bernstein","Editor, Harvard Business Review Magazine, Harvard Business Review Group, USA","Level 1Editor-in-Chief"
"Shereen Bhan","Managing Editor, CNBC-TV18, India","Level 1Editor-in-Chief"
"Johannes Boie","Editor-in-Chief, Die Welt, Germany","Level 1Editor-in-Chief"
"Gerald Braunberger","Publisher, Frankfurter Allgemeine Zeitung, Germany","Level 1Editor-in-Chief"
"Stephen Brown","Editor-in-Chief, Politico, USA","Level 1Editor-in-Chief"
"João F. Caminoto","Director, Journalism, Grupo Estado, Brazil","Level 1Editor-in-Chief"
"Nicholas Carlson","Global Editor-in-Chief, Business Insider, USA","Level 1Editor-in-Chief"
"John Casey","Senior Vice-President, International News and Programming, CNBC, United Kingdom","Level 1Editor-in-Chief"
"Juliana Chan","Chief Executive Officer, Wildtype Media Group, Singapore","Level 1Editor-in-Chief"
"Luciana Coelho","Senior Editor, Folha de São Paulo, Brazil","Level 1Editor-in-Chief"
"Robert Cox","Global Editor-in-Chief, Reuters, Canada","Level 1Editor-in-Chief"
"Noel Curran","Director-General, European Broadcasting Union (EBU), Switzerland","Level 1Editor-in-Chief"
"Kevin Delaney","Founding Editor, Quartz Media, USA","Level 1Editor-in-Chief"
"Christian Dorer","Editor-in-Chief, Blick-Gruppe, Switzerland","Level 1Editor-in-Chief"
"Aurélia End","Chief Editor, Global Economics, Agence France Presse, France","Level 1Editor-in-Chief"
"Edward Felsenthal","Editor-in-Chief, TIME, USA","Level 1Editor-in-Chief"
"Patrick Foulis","Bureau Chief, New York, The Economist, United Kingdom","Level 1Editor-in-Chief"
"Federico Fubini","Deputy Editor-in-Chief, Corriere Della Sera, Italy","Level 1Editor-in-Chief"
"Akio Fujii","Senior Editorial Writer, Nikkei, Japan","Level 1Editor-in-Chief"
"Alicia Gonzalez Vicente","Correspondent, International Economy, El País, Spain","Level 1Editor-in-Chief"
"Serge Guertchakoff","Editor-in-Chief, Bilan, Switzerland","Level 1Editor-in-Chief"
"Eric Gujer","Editor-in-Chief, Neue Zürcher Zeitung (NZZ), Switzerland","Level 1Editor-in-Chief"
