name,meta
"Carlos Fernandes","Member of the Competition Appeal Board, Ministry of Trade and Industry of Singapore, Singapore"
"Alvaro Fernández Ibáñez","Chief Executive Officer and Editor-in-Chief, SharpBrains, USA"
"V. R. Ferose","Senior Vice-President, Globalization Services, SAP Labs LLC, USA"
"Carola Ferstl","Editor, Presenter and Filmmaker, N-TV, Germany"
"Rossanna Figuera","Co-Founder and Ambassador of Good Things, Wafels & Dinges, USA"
"Aria Finger","Chief Executive Officer, DoSomething.org, USA"
"Justin Finnegan","Managing Director, New Economy, Bloomberg, USA"
"Marco Fiorese","Co-Founder, M.A.S. Monaco, Monaco"
"Betsy Fischer Martin","Executive Director, Women & Politics Institute, American University, USA"
"Philipp Jan Flach","Chief Executive Officer, LOGEX, Netherlands"
"Mathieu Flamini","Founder, GFBiochemicals S.p.A, United Kingdom"
"Gloria Fluxa Thienemann","Vice-Chairman and Chief Sustainability Officer, Iberostar Group, Spain"
"Maya Foa","Director, Reprieve, United Kingdom"
"Cristina Fonseca","Partner, Indico Capital Partners, Portugal"
"Kristin J. Forbes","Professor of Global Economics, MIT - Sloan School of Management, USA"
"Miguel Forbes","Vice-Chairman, Forbes Family Trust, USA"
"Laure Forgeron","Managing Director; Head, Facultative Underwriting, Europe, Middle East and Africa, Swiss Re, Switzerland"
"Jocelyn Formsma","Executive Director, National Association of Friendship Centres, Canada"
"Kerstin Forsberg","Founder and Director, Planeta Océano, Peru"
"Justin Fox","Journalist, Bloomberg, USA"
"Samantha Freebairn","Wing Commander and Pilot, Royal Australian Air Force, Australia"
"Chrystia Freeland","Deputy Prime Minister and Minister of Finance, Office of the Deputy Prime Minister of Canada, Canada"
"Andres Freire","Digital Member, Argentina"
"Philipp Freise","Partner, Kohlberg Kravis Roberts & Co Partners LLP, United Kingdom"
"Kumi Fujisawa Tsunoda","Co-Founder and President, Think Tank SophiaBank, Japan"
"Chikara Funabashi","Project Director, Public-Private Joint Project for Overseas Education Promotion, Ministry of Education, Culture, Sports, Science and Technology of Japan, Japan"
"Tulsi Gabbard","Congresswoman from Hawaii (D), 2nd District, United States House of Representatives, USA"
"Lord Gadhia of Northwood","Member of the House of Lords, House of Lords of the United Kingdom, United Kingdom"
"Jean-François Gagné","VP AI, Canada"
"Kate Gallego","Mayor of Phoenix, Arizona, City of Phoenix, USA"
"Alessandra Galloni","Editor-in-Chief, Thomson Reuters, Canada"
"Chao (Amy) Gao","Founder, Shanghai May Foundation, People's Republic of China"
"Javier Garcia-Martinez","Professor, University of Alicante, Spain"
"Angela Daniella Garcia Moreno","Founder and Chief Executive Officer, Elemental School, Bolivia"
"Facundo Garreton","Congressman from Tucumán, National Congress of Argentina, Argentina"
"Katherine Garrett-Cox","Chief Executive Officer, Asset Management, Gulf International Bank (UK), United Kingdom"
"Katharine Garvey","Co-Founder, Project Everyone, United Kingdom"
"Joe Gebbia","Chief Product Officer and Co-Founder, Airbnb, USA"
"Alexander Geiser","CEO & Managing Partner, Finsbury Glover Hering, Germany"
"Jared Genser","Managing Director, Perseus Strategies LLC, USA"
"Banafsheh Geretzki","Head of Division, European Central Bank, Germany"
"Laura Gersch","Member of the Board of Management, Corporate Pensions, Allianz Lebensversicherungs-AG, Germany"
"Golriz Ghahraman","Member of Parliament, New Zealand Parliament, New Zealand"
"James Gifford","Head, Impact Advisory, Credit Suisse AG, Singapore"
"Nili Gilbert","Chairwoman of the Investment Committee, David Rockefeller Fund, USA"
"Garlin Gilchrist II","Lieutenant Governor, State of Michigan, USA"
"Mack Gill","Chief Operating Officer and Board Member, Torstone Technology, United Kingdom"
"Sadiq Gillani","Senior Vice-President, Emirates Group, United Arab Emirates"
"Liliana Gil Valletta","Chief Executive Officer, CIEN+, USA"
"Keisuke Goda","Professor of Physical Chemistry, University of Tokyo, Japan"
"Ayla Göksel","Chief Executive Officer, Ozyegin Social Investments, Turkey"
"Elissa Golberg","Assistant Deputy Minister for Strategic Policy, Global Affairs Canada, Canada"
"Yair Goldfinger","Co-Founder and Chief Executive Officer, AppCard Inc., USA"
"Neal Goldman","Managing Member, Idyllwild Ventures LLC, Spain"
"Benjamin Goldsmith","Chief Executive Officer, Menhaden Capital Plc, United Kingdom"
"Ellen Gonda","Communications Adviser, EDG Consulting, USA"
"Gong Yingying","Founder and Chairwoman, Yidu Tech, People's Republic of China"
"Andres Simon Gonzalez-Silen","Executive Chairman, Asistensi, Venezuela"
"Charmian Gooch","Co-Founder and Co-Director, Global Witness, United Kingdom"
"Suhas Gopinath","Chairman and Chief Executive Officer, Globals Inc., India"
"Pierre-Dimitri Gore-Coty",""
"Karina Gould","Minister of International Development, Global Affairs Canada, Canada"
"Soulaima Gourani","Co-Founder, Women Reignite Inc., USA"
"Chido Govera","Founder and Director, The Future of Hope Foundation, Zimbabwe"
"Ashish Goyal","Portfolio Manager, Balyasny Asset Management L.P., United Kingdom"
"Vandana Goyal","Member of the Board of Directors, Akanksha Foundation, India"
"Christine Graeff","Director General, DG Communications, European Central Bank, Germany"
"Felix R. Graf","Chief Executive Officer, NZZ Medien-Gruppe, Switzerland"
"Sanni Grahn-Laasonen","Member of Parliament, Parliament of Finland (Eduskunta), Finland"
"Adam Grant","Saul P. Steinberg Professor of Management and Psychology, Wharton School, University of Pennsylvania, USA"
"Megan Greenfield","Partner, McKinsey & Company, USA"
"Julia R. Greer","Professor, Materials Science, Mechanics and Medical Engineering, California Institute of Technology (Caltech), USA"
"Samuel Gregory","Programme Director, WITNESS, USA"
"Kristin Groos Richmond","Co-Founder and Chief Executive Officer, Revolution Foods, USA"
"Fernando Grostein Andrade","Filmmaker, USA"
"Anne-Sophie Grouchka","Member of the Executive Board, France; Chief Customer Officer, Allianz, France"
"Marga Gual Soler","Founder and Chief Executive Officer, SciDipGLOBAL, Spain"
"Carlalberto Guglielminotti","Chief Executive Officer and General Manager, ENGIE EPS S.A., France"
"Matthew Guilford","Co-Founder and Chief Executive Officer, Common Health, Malaysia"
"Mina Guli","Founder and Chief Water Advocate, Thirst, Hong Kong SAR, China"
"Hrund Gunnsteinsdottir","Director, Writer and Filmmaker, Krád Consulting, Iceland"
"Sanjay Gupta","Managing Partner and Founder, LinkedCap, USA"
"Eyal Gura","Co-Founder and Chairman of the Board, Zebra Medical Vision, Israel"
"Sergei Guriev","Professor of Economics, Institut d'études politiques de Paris (Sciences Po), France"
"Andrey A. Guryev","Chief Executive Officer, PhosAgro, Russian Federation"
"Martín Guzmán","Minister of Economy, Ministry of Economy of Argentina, Argentina"
"Cyrus Habib","Priest, Society of Jesus (Jesuits), USA"
"Habib Haddad","Managing Partner, E14 Fund, USA"
"Camilla Hagen Sørli","Member of the Board, Canica, Norway"
"Fatemeh Haghighatjoo","Chief Executive Officer, Nonviolent Initiative for Democracy, USA"
"Yalda Hakim","Anchor, International Correspondent, British Broadcasting Corporation (BBC), United Kingdom"
"Avril Halstead","Consultant, International Monetary Fund (IMF), USA"
"Ted Halstead",""
"Mona Hammami","Senior Director, Crown Prince Court of Abu Dhabi, United Arab Emirates"
"Kate Hampton","Chief Executive Officer, Children's Investment Fund Foundation (CIFF), United Kingdom"
"Osman Haneef","Author, United Kingdom"
"Mark Hanis","Co-Founder, ShopForCause, USA"
"Dave Hanley","Chief Executive Officer, Tomorrow, USA"
"Sarah Hanson-Young","Senator for South Australia, Australian Parliament, Australia"
"Nathaniel Harding","Managing Partner, Cortado Ventures, USA"
"Assaf Harlap","Co-Founder and Board Member, MEET, Israel"
"Niel Harper","Chief Information Security Officer, United Nations Office for Project Services (UNOPS), Denmark"
"Jonathan Harris","Artist, Number 27, USA"
"John Harthorne","Managing Director, Two Lanterns Venture Partners, USA"
"Atsumi Hasegawa","Chief Executive Officer, Litalico Inc., Japan"
"Sahar Hashemi","Entrepreneur and Author, United Kingdom"
"He Zhengyu","Principal Scientist, Ant Group, People's Republic of China"
"Jeremy Heimans","Co-Founder and Chief Executive Officer, Purpose Campaigns PBC, USA"
"Bettina Hein","Founder and Chief Executive Officer, Juli AG, Switzerland"
"He Jin","Co-Founder and Vice-President, Maimai, People's Republic of China"
"Rebecca M. Heller","Executive Director, International Refugee Assistance Project, USA"
"Brad Henderson","Chief Executive Officer, P33, USA"
"Cal Henderson","Co-Founder and Chief Technology Officer, Slack, USA"
"Christian Hernandez Gallardo","Angel Investor, United Kingdom"
"Roberto Herrera","Country Manager and Chief, InterEnergy Holdings, Dominican Republic"
"David Hertz","Founder and President, Gastromotiva, Brazil"
"Celine Herweijer","Young Global Leader Alumni, United Kingdom"
"Christel Heydemann","Executive Vice-President, Europe, Schneider Electric, France"
"Lisa Heydlauff","Chief Executive Officer, Going to School, India"
"Sheri Hickok","Chief Executive Officer - Onshore Wind Asia Pacific & China, GE, Singapore"
"Solveigh Hieronimus","Senior Partner, McKinsey & Company, Germany"
"Katie Hill","Global Director, Power and Strategy, Liquid Telecom, Kenya"
"Pekka Himanen","Co-Founder, Global Dignity, Finland"
"Shaurya Veer Himatsingka","Deputy Managing Director, India Carbon Limited, India"
"Lars Hinrichs","Chief Executive Officer, Cinco Capital GmbH, Germany"
"Aroon Hirdaramani","Director, Hirdaramani Group, Sri Lanka"
"Kent Ho","Founder and General Partner, S28 Capital, Hong Kong SAR, China"
"Brent Hoberman","Co-Founder & Executive Chairman, Founders Factory, United Kingdom"
"Florian Hoffmann","Founder, The DO, Germany"
"Dirk Carsten Hoke","Chief Executive Officer, Airbus Defence and Space, Germany"
"Kurt Holle","Country Representative, WWF Peru, Peru"
"Rodney Hood","Chairman, National Credit Union Administration (NCUA), USA"
"Ho Ren Hua","Chief Executive Officer, Thai Wah Public Company Limited, Thailand"
"Leila Hoteit","Managing Director and Senior Partner, Boston Consulting Group, United Arab Emirates"
"Lama Hourani","Founder and Creative Director, Lama Hourani Creations, France"
"Brett House","Deputy Chief Economist, Scotiabank, Canada"
"Jeremy Howard","Founding Researcher, fast.ai, USA"
"Catherine Howarth","Chief Executive, ShareAction, United Kingdom"
"Ken Howery","Co-Founder and Partner, Founders Fund, USA"
"Halla Hrund Logadottir","Co-Founder, Arctic Initiative, Harvard Kennedy School of Government, USA"
"Christine Hsu","Managing Director, Co-Head of Financial Sponsors Group, Asia-Pacific, UBS AG, Hong Kong SAR, China"
"Jacob Hsu","Chief Executive Officer, Catalyte, USA"
"Jukay Hsu","Co-Founder and Chief Executive Officer, Pursuit, USA"
"Mei Mei Hu","Chief Executive Officer, Vaxxinity, USA"
"Huang Dinglong","Co-Founder and Chief Executive Officer, Malong Technologies, People's Republic of China"
"Rodrigo Hübner Mendes","Founder and Chief Executive Officer, Instituto Rodrigo Mendes, Brazil"
"Lydie Hudson","Chief Executive Officer, Sustainability, Research and Investment Solutions, Credit Suisse, Switzerland"
"Hu Ge","Actor, Hu Ge Studio, People's Republic of China"
"Gordon Hughes","Founder and Managing Director, Rhythmscape Publishing, Australia"
"Tom Hulme","General Partner, Google Ventures, United Kingdom"
"Rory Hunter","Chief Executive Officer and Co-Founder, Song Saa Collective, Hong Kong SAR, China"
"Chad Hurley","Founder, AVOS, USA"
"Forsan Hussein","Co-Founder and Managing Director, Zaitoun Ventures, Israel"
"Kamel A. Husseini","Chief Strategic Engagements and Investor Relations Officer, Bank of Palestine, Palestinian Territories"
"Rebeca Hwang Eun Young","General Partner, Kalei Ventures, USA"
"Roberto Ibarra","Chief Technology Officer, Expediente Azul, Mexico"
"Kentaro Ichiki","Founder, UNIVERSITY of CREATIVITY, Hakuhodo Inc., Japan"
"Khaled Igué","Founder and President, Club 2030 Afrique, France"
"David Ikkersheim","Partner, KPMG, Netherlands"
"Ipek Ilicak Kayaalp","Chairperson, Ronesans Holding, Turkey"
"Paula Ingabire","Minister of Information Communication Technology and Innovation, Ministry of Information Communication Technology and Innovation of Rwanda, Rwanda"
"Delfina Irazusta","Founder and Executive Director, Asociacion Civil Red de Innovacion Local (Local Innovation Network), Argentina"
"Clarisse Iribagiza","Chief Executive Officer, HeHe, Rwanda"
"Dalal Saeb Iriqat","Vice-President, International Relations, Arab American University-Palestine, Palestinian Territories"
"Ayman Ismail","Associate Professor and Abdul Latif Jameel Endowed Chair of Entrepreneurship, American University in Cairo, Egypt"
"Lisa Ivers","Partner and Managing Director, Boston Consulting Group (BCG), USA"
"Alexander Ivlev","Managing Partner, CIS, EY LLC, Russian Federation"
"Daisuke Iwase","Group Chief Digital Officer, AIA Group Limited - Pan-Asian Life Insurance Company, Hong Kong SAR, China"
"Funmi Iyanda","Creative Director, Oya Media, United Kingdom"
"Mitsuru Izumo","President, euglena Co. Ltd, Japan"
"Ramzi Jaber","Co-Founder, Visualizing Impact (VI), Canada"
"Jessica Jackson","Chief Advocacy Officer, Reform Alliance, USA"
"Badr Jafar","Chief Executive Officer, Crescent Enterprises, United Arab Emirates"
"Majid Jafar","Chief Executive Officer, Crescent Petroleum, United Arab Emirates"
"Munizae Jahangir","Anchor and Executive Producer, Aaj TV, Pakistan"
"Ankur Jain","Founder and Chief Executive Officer, Kairos, USA"
"Pooja Jain","Managing Director, Luxor Writing Instruments Pvt. Ltd, India"
"Mariéme Jamme","Founder and Chief Executive Officer, iamtheCODE, United Kingdom"
"Bhairavi Jani","Executive Director, SCA Group of Companies, India"
"Livia Járóka","Member of the European Parliament, European Parliament, Belgium"
"Yasar Jarrar","Professor of Business and Global Society, Hult International Business School, United Kingdom"
"Wyclef Jean","Ambassador-at-Large of the Republic of Haiti, USA"
"Nina Jensen","Chief Executive Officer, REV Ocean AS, Norway"
"Vuk Jeremic","President, Center for International Relations and Sustainable Development (CIRSD), Serbia"
"Jiang Ying","Professor, Peking University, People's Republic of China"
"Jia Ping","Chief Executive Director and Founder, Health Governance Initiative, People's Republic of China"
"Bayartsetseg Jigmiddash","Prevention Lead, Independent Integrity Unit, Green Climate Fund, Republic of Korea"
"Lars Jannick Johansen","Founder and Managing Partner, Den Sociale Kapitalfond, Denmark"
"David Jones","Founder, One Young World, USA"
"Hannah Jones","Founder, President Nike Valiant Labs, Nike, USA"
"Sandrine Joseph","Head, Programme Management Office, Digital Transformation, Orange, France"
"Mohit Joshi","President, Infosys, United Kingdom"
"Dana Juffali","Member of the Board, Juffali and Brothers, Saudi Arabia"
"Soulaymane Kachani","Vice-Provost for Teaching and Learning; Senior Vice-Dean; Professor, Columbia University, USA"
"Sébastien Kadio-Morokro","Chief Executive Officer, Petro Ivoire S.A., Côte d'Ivoire"
"Nik Kafka","Founder and Chief Executive Officer, Teach a Man to Fish, United Kingdom"
"Rosebell Kagumire","Curator and Editor, African Feminism, Ethiopia"
"Wanuri Kahiu","Filmmaker, AFROBUBBLEGUM, Kenya"
"Nari Kahle","Head of Program Management & Operational Excellence at CARIAD / Volkswagen Group, Volkswagen Group, Germany"
"Angellah Jasmine Mbelwa Kairuki","Former Cabinet Minister of Government of the United Republic of Tanzania, Tanzania"
"Vimbayi Kajese","Founder, #Adtags, USA"
"Daria Kaleniuk","Executive Director, Anti-Corruption Action Centre, Ukraine"
"Faten Kallel","Politician, Independent, Tunisia"
"Gazal Kalra","Co-founder, Rivigo, India"
"Gadeer Kamal-Mreeh","Member of the Knesset, Knesset, Israel"
"Ahd Kamel","Director and Actress, Odd Camel, Saudi Arabia"
"Unathi Kamlana","Head, Policy, Statistics and Industry Department, Prudential Authority, South African Reserve Bank (SARB), South Africa"
"Aminata Kane Ndiaye","Chief Executive Officer, Orange Sierra Leone, Sierra Leone"
"Kang So-Young","Founder and Chief Executive Officer, Gnowbe Pte Ltd, Singapore"
"Madhu Kannan","Chief Business Officer, India and Emerging Markets, Uber India Systems, India"
"Elsie S. Kanza","Head of the Regional Agenda, Africa; Member of the Executive Committee, World Economic Forum, Switzerland"
"Paul Kapelus","Director, Synergy Global Consulting Ltd, South Africa"
"Shira Kaplan","Founder and Chief Executive Officer, Cyverse, Switzerland"
"Kola Karim","Group Managing Director and Chief Executive Officer, Shoreline Natural Resources, Nigeria"
"Karen Karniol-Tambour","Co-Chief Investment Officer of Sustainability, Bridgewater Associates, USA"
"Dennis Karpes","Co-Founder and Creative Director, Justdiggit Foundation, Netherlands"
"Neema Kaseje","Surgeon, Médecins Sans Frontières, Switzerland"
"Sam Kass","Partner, Acre Venture Partners, USA"
"Manuella Kaster","Professor, Federal University of Santa Catarina (UFSC), Brazil"
"Felipe Kast Sommerhoff","Congressman, Congress of Chile, Chile"
"Drue Kataoka","Founder, Drue Kataoka Studios, USA"
"Kentaro Katayama","Director, Ministry of Finance of Japan, Japan"
"Brian Kaufmann","Head of Private Investments and Portfolio Manager - Management Committee Member, Viking Global Investors, USA"
"Piia-Noora Kauppi","Managing Director, Finance Finland, Finland"
"Tunde Kehinde","Co-Founder and Co-Chief Executive Officer, Lidya Holdings, Inc, Nigeria"
"Manish Kejriwal","Managing Partner, Kedaara Capital, India"
"Valerie Keller","Co-Founder, Imagine, United Kingdom"
"Conrod Kelly","Managing Director, Chile, Merck & Co., Inc, USA"
"Ibram X Kendi","Director of the Center for Antiracist Research, Boston University, USA"
"Bogolo Joy Kenewendo","Member of Parliament, The National Assembly of the Republic of Botswana, Botswana"
"Joseph P. Kennedy III",""
"Teresa K. Kennedy","Founder and Chief Executive Officer, Power Living Enterprises, USA"
"Niki Kerameus","Minister of Education and Religious Affairs, Ministry of Education, Research and Religious Affairs of Greece, Greece"
"Georges Kern","Chief Executive Officer, Breitling SA, Switzerland"
"Nora Khaldi","Founder and Chief Science Officer, Nuritas, Ireland"
"Deeyah Khan","Documentary Filmmaker and Chief Executive Officer, Fuuse AS, United Kingdom"
"Faisal Khan","Co-Founder and Chief Executive Officer, Peshawar 2.0, Pakistan"
"Omezzine Khelifa","Founder and Chief Executive Officer, Mobdiun - Creative Youth, Tunisia"
"Uday H. Khemka","Vice-Chairman, SUN Group, United Kingdom"
"Shreevar Kheruka","Managing Director, Borosil Ltd., India"
"Reem Khouri","Founder and Partner, Kaamen, Jordan"
"Tigran Khudaverdian","Deputy Chief Executive Officer, Yandex, Russian Federation"
"Marc Kielburger","Co-Founder, Free the Children, Canada"
"Dong-Kwan Kim","President of Hanwha Solutions / Strategy Division, Hanwha Solutions, Republic of Korea"
"Elaine Kim","Co-Founder, Trehaus, Singapore"
"Sophie Seula Kim","Founder & Chief Executive Officer, Kurly, Republic of Korea"
"Sebastián Kind","CEO & Chairman, Green Map, Belgium"
"Adam Kinzinger","Congressman from Illinois (R), 16th District, United States House of Representatives, USA"
"Emily Kirsch","Founder and Managing Partner, Powerhouse Ventures, USA"
"Akira Kirton","Vice-President, Global Acetyls, bp, United Kingdom"
"Insa Klasing","Co-Founder and Chief Executive Officer, TheNextWe, Germany"
"Daniel Klier","Group Head, Strategy, HSBC, United Kingdom"
"Sean Klimczak","Global Head of Infrastructure & Senior Managing Director, Blackstone Group, USA"
"Alan Knott-Craig","Executive Chairman, HeroTel, South Africa"
"Vera Kobalia","AsiaGlobal Fellow, University of Hong Kong, Canada"
"Fumiaki Kobayashi","Member,House of Representatives, The Liberal Democratic Party of Japan, Japan"
"Lin Kobayashi","Founder and Chairwoman, UWC ISAK Japan, Japan"
"Kathryn Koch","Managing Director, Global Head of Client Portfolio Management and Business Strategy, Goldman Sachs, USA"
"Silvana Koch-Mehrin","President, Women Political Leaders, Belgium"
"Andrey Kolodyuk","Founder and Managing Partner, AVentures Capital, Ukraine"
"Masami Komatsu","President and Chief Executive Officer, Music Securities Inc., Japan"
"Terrence Kommal","Chief Executive Officer and Chairman, Medical Expert Consulting Group, South Africa"
"James M. Kondo","Chairman, International House of Japan, Japan"
"Rajamanohar Somasundaram","Chief Executive Officer, Coastal Aquaculture Research Institute Private Limited, India"
"Joseph Konzelmann","Partner;  Global Head of the Client and Capital Formation Group, TPG, USA"
"Lauren Koopman","Head, Impact, Align17, USA"
"Jonathan Korngold","Senior Managing Director and Head of Growth Equity Investing, Blackstone Group, USA"
"Naomi Koshi","Partner, Miura&Partners, Japan"
"Johann O. Koss","Founder, Right To Play International, Canada"
"Michael Kratsios",""
"Frank Krings","Chief Executive Officer Western Europe, Deutsche Bank Luxembourg S.A., France"
"Christian Kroll","Scientific Co-Director, SDG Index, Bertelsmann Stiftung, Germany"
"Alok Kshirsagar","Senior Partner, McKinsey & Company, India"
"Kimathi Kuenyehia Sr","Managing Partner, Kimathi & Partners, Corporate Attorneys, Ghana"
"Maria Teresa Kumar","President and Chief Executive Officer, Voto Latino, USA"
"Umit Kumcuoglu","Chief Executive Officer, Nyssa Finansal Danismanlik Ltd., Turkey"
"Andrew Kuper","Chief Executive Officer and Founder, LeapFrog Investment Group, Ltd., Australia"
"Rina Gee Kupferschmid-Rojas","Group Head, Sustainable Finance, UBS (USA) Inc., USA"
"Stefanie Kurniadi","Founder, PT. Citarasa Prima Indonesia Berjaya, Indonesia"
"Maja Kuzmanovic","President, FoAM, Belgium"
"Stéphanie Lacour","Professor, Bertarelli Foundation Chair in Neuroprosthetic Technology, Ecole Polytechnique Fédérale de Lausanne (EPFL), Switzerland"
"Peter Lacy","Chief Responsibility Officer & Global Sustainability Services Lead, Accenture, United Kingdom"
"Sanae Lahlou","Director of the African Business Unit, Mazars Morocco, Morocco"
"Siddhartha Lal","Managing Director, Eicher Motors Limited, India"
"Ronald Lamola","Minister of Justice and Correctional Services of the Republic of South Africa, Ministry of Justice and Correctional Services of the Republic of South Africa, South Africa"
"Tamás Landesz","Director, Administration and Finance, International Agency for Research on Cancer (IARC), France"
"Lily Lapenna","Founder and Chief Executive Officer, Block for Impact, USA"
"Juan Pablo Larenas","Executive Director, B Lab, Chile"
"Avid Larizadeh Duggan","Non-Executive Director, Barclays, United Kingdom"
"Corinna E. Lathan","Chair of the Board and Chief Executive Officer, AnthroTronix Inc., USA"
"Farhan Latif","President, El-Hibri Foundation, USA"
"Tan Le","Chief Executive Officer, EMOTIV, USA"
"Tristan Lecomte","Chief Executive Officer, Pur Projet, France"
"Andrew Lee","Member of the Board of Directors, National Museum of the American Indian, Smithsonian Institution, USA"
"Ellana Lee","Senior Vice-President and Managing Editor, CNN International, Hong Kong SAR, China"
"James R. Lee","Chairman and Managing Partner, Lee & Partners, Denmark"
"Sam Lee","Founder and Chief Executive Officer, IndeCollective, USA"
"Seung Gun Lee","Chief Executive Officer and Founder, Viva Republica (Toss), Republic of Korea"
"Julianne Lee Jihyun","Founder and Chief Executive Officer, Julianne Lee & Co., Republic of Korea"
"Lee Joo-Sung","Senior Executive Vice-President, SeAH Steel, Republic of Korea"
"Lee Xiaodong","Founder and Chief Executive Officer, Fuxi Institution, People's Republic of China"
"Michael Lefenfeld","President and Chief Executive Officer, Cyanco, Inc., USA"
"Guillaume Lefevre","Managing Director, New Ventures and Business Development, Zurich Insurance Group, Switzerland"
"Moritz Lehmkuhl","Founder and Chief Executive Officer, ClimatePartner GmbH, Germany"
"Courtney Leimkuhler","Founding Partner, Springbank Collective, USA"
"Eduardo Leite","Governor of the State of Rio Grande do Sul, Government of the State of Rio Grande do Sul, Brazil"
"Achankeng Leke","Senior Partner; Chairman, Africa; Leader, Private Equity and Principal Investors, Africa; Member, McKinsey Global Institute Council, McKinsey & Company, South Africa"
"Olivia Leland","Founder and Chief Executive, Co-Impact, United Kingdom"
"Thomas Trikasih Lembong","Co-Founder, Chief Executive Officer and Managing Partner, Quvat Management, Singapore"
"Ronaldo Lemos","Chief Scientific Officer, Institute for Technology & Society (ITS), Rio de Janeiro, Brazil"
"Catherine Lenson","Managing Partner, SoftBank Investment Advisers (UK) Limited, United Kingdom"
"Dana Leong","Chief Executive Officer, Grammy Winning Musician, TEKTONIKmusic.org, USA"
"Naisula Lesuuda","Member of Parliament, Kenyan Parliament, Kenya"
"Tim Levene","Founder and CEO, Augmentum Fintech PLC, United Kingdom"
"Katrin Ley","Managing Director, Fashion for Good, Netherlands"
"Yifan Li","Chief Executive Officer, Hesai Technology, People's Republic of China"
"Torsten Lichtenau","Senior Partner, Bain & Company Inc., United Kingdom"
"Li Jia","Adjunct Professor, Stanford University School of Medicine, USA"
"Veronika Linardi","Chief Executive Officer, PT. Qareer Harapan Asia, Indonesia"
"Li Ni","Vice-Chairman and Chief Operating Officer, Bilibili Inc., People's Republic of China"
"Carol Li Rafferty","Managing Director, Yale University Beijing, People's Republic of China"
"Li Sixuan","Anchor, China Central Television (CCTV), People's Republic of China"
"Gary Liu","Chief Executive Officer, South China Morning Post, Hong Kong SAR, China"
"Ida Liu","Managing Director; Head, North America, Citi Private Bank, USA"
"Max Liu","Co-Founder and Chief Executive Officer, EMQ Inc., Taiwan, China"
"Peggy Liu","Chairperson, Joint US-China Collaboration on Clean Energy (JUCCCE), People's Republic of China"
"Liu Qian","Managing Director, The Economist Group, China, People's Republic of China"
"Liu Xiao","Chief Partner, Beijing Vanke, People's Republic of China"
"Bill Liu Zihong","Founder, Chairman and Chief Executive Officer, Royole Corporation, People's Republic of China"
"Jason Li Yat-Sen","Senate Fellow, University of Sydney, Australia"
"Stephanie Lo","Managing Director, Shui On Investment Company Limited, Hong Kong SAR, China"
"Tina Y. Lo","Chairman, O-Bank, Taiwan, China"
"Clare Lockhart","Chief Executive Officer, ISE, USA"
"André Loesekrug-Pietri","Chairman, Joint European Disruptive Initiative (JEDI), France, Metropolitan"
"Christopher Logan","Managing Director; Lead, Freight and Logistics, Asia-Pacific, Middle East and Africa, Accenture, Singapore"
"Lokesh Nara","Member, Andhra Pradesh Legislative Council, India"
"Elisha London","Chief Executive Officer, United for Global Mental Health (United GMH), United Kingdom"
"Jessica Long","Managing Director and Chief Strategy Officer, Closed Loop Partners, USA"
"Lynn Loo","Director, Andlinger Center for Energy and the Environment; Theodora D. 78 and William H. Walton III 74 Professor in Engineering, Princeton University, USA"
"Christina K. Lopes","Chief Executive Officer and Founder, The One Health Company, USA"
"Brie Loskota","Executive Director, Center for Religion and Civic Culture, University of Southern California, USA"
"Grace Natalie Louisa","Co-Founder and Chairwoman, Partai Solidaritas Indonesia - PSI (Indonesian Solidarity Party), Indonesia"
"Martin Lousteau","Senator for the city of Buenos Aires, Argentina State, Argentina"
"Haley Lowry","Global Sustainability Director, Dow, USA"
"Jeffrey Lu","CEO and Co-Founder, Engine Biosciences Pte Ltd, Singapore"
"Kevin Lu","Chairman of Asia, Partners Group Singapore Pte Ltd, Singapore"
"Lu Chaoyang","Professor of Physics, University of Science and Technology of China, People's Republic of China"
"Igor Luksic","Director, Public Sector, South-East Europe, PwC, Montenegro"
"Mariana Luz","Chief Executive Officer, Maria Cecilia Souto Vidigal Foundation, Brazil"
"Mette Lykke","Chief Executive Officer, Too Good To Go, Denmark"
"Emilia Macarie","Chief financial officer, Allianz, Spain"
"Lisa MacCallum","Founder, Inspired Companies, Australia"
"Emmanuel Macron","President of France, Office of the President of the Republic of France, France"
"CV Madhukar","Managing Director, Omidyar Network, USA"
"Deepak Madnani","Chief Executive Officer, Paperclip Startup Campus, Hong Kong SAR, China"
"Larry Madowo","North America Correspondent, British Broadcasting Corporation (BBC), USA"
"Marco Magnani","Senior Research Fellow, Harvard Kennedy School of Government, USA"
"Poonam Mahajan","Member of Parliament for Lok Sabha from Mumbai North Central, Maharashtra, Parliament of India, India"
"Katherine Maher","Chief Executive Officer, Wikimedia Foundation, USA"
"Chetan Maini","Vice-Chairman, SUN Mobility Pte Ltd, Singapore"
"Ayla Majid","Founder and Chief Executive Officer, Planetive, Pakistan"
"Tamer Makary","Founder, Ethica Partners, USA"
"Tumi Makgabo","Founder and Executive Director, AfricaWorldwide Media, South Africa"
"Jonathan Malagon","Minister of Housing, Cities and Territory, Ministry of Housing, Cities and Territory of Colombia, Colombia"
"Marlene Malahoo Forte","Senator, Houses of Parliament of Jamaica, Jamaica"
"Caroline Malcolm","Head, Global Blockchain Policy Centre, Organisation for Economic Co-operation and Development (OECD), France"
